diseaseClasses_MSH,diseaseName,diseaseType,diseaseUMLSCUI,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,geneNcbiID,geneNcbiType,geneProteinClassNames,score,symbolOfGene,MSH,MSH_normalised_name
"[Eye Diseases (C11), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]","Ophthalmoplegia, Progressive Supranuclear",disease,C4551862,,,,,4137.0,protein-coding,[],0.4,MAPT,D013494,"Supranuclear Palsy, Progressive"
"[Nervous System Diseases (C10), Mental Disorders (F03), Pathological Conditions, Signs and Symptoms (C23)]",Learning Disorders,disease,C0023186,,,,,4137.0,protein-coding,[],0.4,MAPT,D007859,Learning Disabilities
[Cardiovascular Diseases (C14)],Primary cardiomyopathy,disease,C0033141,,,,,4137.0,protein-coding,[],0.4,MAPT,D009202,Cardiomyopathies
[Cardiovascular Diseases (C14)],"Myocardial Diseases, Secondary",disease,C0036529,,,,,4137.0,protein-coding,[],0.4,MAPT,D009202,Cardiomyopathies
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,120892.0,protein-coding,[Kinase],1.0,LRRK2,D010300,Parkinson Disease
[Nervous System Diseases (C10)],Parkinsonian Disorders,disease,C0242422,,,,,120892.0,protein-coding,[Kinase],1.0,LRRK2,D020734,Parkinsonian Disorders
"[Pathological Conditions, Signs and Symptoms (C23)]",Nerve Degeneration,phenotype,C0027746,,,,,120892.0,protein-coding,[Kinase],0.95,LRRK2,D009410,Nerve Degeneration
"[Musculoskeletal Diseases (C05), Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Muscle Rigidity,phenotype,C0026837,,,,,120892.0,protein-coding,[Kinase],0.65,LRRK2,D009127,Muscle Rigidity
"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Frontotemporal dementia,disease,C0338451,Autosomal dominant,1-9 / 100 000,Italy,Annual incidence,120892.0,protein-coding,[Kinase],0.6,LRRK2,D057180,Frontotemporal Dementia
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]","Ataxia, Spinocerebellar",disease,C0087012,,,,,120892.0,protein-coding,[Kinase],0.5,LRRK2,D020754,Spinocerebellar Ataxias
"[Pathological Conditions, Signs and Symptoms (C23)]",Weight Loss,phenotype,C1262477,,,,,120892.0,protein-coding,[Kinase],0.45,LRRK2,D015431,Weight Loss
[Digestive System Diseases (C06)],Crohn's disease of large bowel,disease,C0156147,,,,,120892.0,protein-coding,[Kinase],0.45,LRRK2,D003424,Crohn Disease
"[Musculoskeletal Diseases (C05), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","KLIPPEL-FEIL SYNDROME, AUTOSOMAL DOMINANT",disease,C1861689,,,,,120892.0,protein-coding,[Kinase],0.4,LRRK2,C536887,Klippel Feil syndrome dominant type
[Eye Diseases (C11)],Blepharoptosis,disease,C0005745,,,,,120892.0,protein-coding,[Kinase],0.4,LRRK2,D001763,Blepharoptosis
"[Urogenital Diseases (C12), Neoplasms (C04)]",Renal Cell Carcinoma,disease,C0007134,Not applicable,"1-5 / 10 000,1-9 / 100 000","Europe,Europe","Point prevalence,Annual incidence",120892.0,protein-coding,[Kinase],0.4,LRRK2,D002292,"Carcinoma, Renal Cell"
[Urogenital Diseases (C12)],Endometriosis,disease,C0014175,,,,,120892.0,protein-coding,[Kinase],0.4,LRRK2,D004715,Endometriosis
"[Pathological Conditions, Signs and Symptoms (C23), Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10)]",Psychomotor Disorders,disease,C0033922,,,,,120892.0,protein-coding,[Kinase],0.4,LRRK2,D011596,Psychomotor Disorders
[Mental Disorders (F03)],Motor Disorders,disease,C0221163,,,,,120892.0,protein-coding,[Kinase],0.4,LRRK2,D000068079,Motor Disorders
"[Neoplasms (C04), Respiratory Tract Diseases (C08)]",Lung Neoplasms,disease,C0024121,,,,,5595.0,protein-coding,[Kinase],0.75,MAPK3,D008175,Lung Neoplasms
"[Endocrine System Diseases (C19), Urogenital Diseases (C12), Neoplasms (C04)]",ovarian neoplasm,disease,C0919267,,,,,5595.0,protein-coding,[Kinase],0.7,MAPK3,D010051,Ovarian Neoplasms
[Mental Disorders (F03)],Schizophrenia,disease,C0036341,,,,,5595.0,protein-coding,[Kinase],0.7,MAPK3,D012559,Schizophrenia
[Neoplasms (C04)],Squamous cell carcinoma,disease,C0007137,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D002294,"Carcinoma, Squamous Cell"
[Mental Disorders (F03)],Autistic Disorder,disease,C0004352,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D001321,Autistic Disorder
[Mental Disorders (F03)],Depressive disorder,disease,C0011581,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D003866,Depressive Disorder
"[Pathological Conditions, Signs and Symptoms (C23)]",Hypertrophy,phenotype,C0020564,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D006984,Hypertrophy
[Behavior and Behavior Mechanisms (F01)],Mental Depression,disease,C0011570,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D003863,Depression
[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,,,,,5595.0,protein-coding,[Kinase],0.65,MAPK3,D010300,Parkinson Disease
[Cardiovascular Diseases (C14)],Cardiomyopathies,disease,C0878544,,,,,5595.0,protein-coding,[Kinase],0.55,MAPK3,D009202,Cardiomyopathies
"[Digestive System Diseases (C06), Neoplasms (C04)]",Adenocarcinoma of colon,disease,C0338106,,,,,5595.0,protein-coding,[Kinase],0.55,MAPK3,D003110,Colonic Neoplasms
"[Nervous System Diseases (C10), Cardiovascular Diseases (C14)]",Brain Ischemia,disease,C0007786,,,,,5595.0,protein-coding,[Kinase],0.55,MAPK3,D002545,Brain Ischemia
"[Cardiovascular Diseases (C14), Respiratory Tract Diseases (C08)]",Pulmonary Hypertension,phenotype,C0020542,,,,,5595.0,protein-coding,[Kinase],0.55,MAPK3,D006976,"Hypertension, Pulmonary"
"[Digestive System Diseases (C06), Neoplasms (C04)]",Stomach Neoplasms,disease,C0038356,,,,,5595.0,protein-coding,[Kinase],0.5,MAPK3,D013274,Stomach Neoplasms
"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10), Nutritional and Metabolic Diseases (C18)]",Juvenile Neuronal Ceroid Lipofuscinosis,disease,C0751383,,,,,5595.0,protein-coding,[Kinase],0.5,MAPK3,D009472,Neuronal Ceroid-Lipofuscinoses
"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Hyperalgesia,phenotype,C0020429,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D006930,Hyperalgesia
"[Infections (C01), Pathological Conditions, Signs and Symptoms (C23)]",Sepsis,disease,C0243026,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D018805,Sepsis
"[Nervous System Diseases (C10), Stomatognathic Diseases (C07)]",Trigeminal Neuralgia,disease,C0040997,Not applicable,"1-9 / 100 000,1-9 / 100 000","United States,United Kingdom","Annual incidence,Annual incidence",5595.0,protein-coding,[Kinase],0.4,MAPK3,D014277,Trigeminal Neuralgia
"[Pathological Conditions, Signs and Symptoms (C23)]",Nerve Degeneration,phenotype,C0027746,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009410,Nerve Degeneration
[Mental Disorders (F03)],Developmental Disabilities,disease,C0008073,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D002658,Developmental Disabilities
[Cardiovascular Diseases (C14)],Primary cardiomyopathy,disease,C0033141,,,,,5595.0,protein-coding,[Kinase],0.4,MAPK3,D009202,Cardiomyopathies
