,diseaseClasses_MSH,diseaseName,diseaseType,CUI,geneNcbiID,score,symbolOfGene,pref_name,source_id,source
258,[Nervous System Diseases (C10)],Movement Disorders,disease,C0026650,1813.0,0.8500000000000001,DRD2,Movement disorder,10113,MedGen
265,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Opioid dependence,disease,C0524662,1813.0,0.8,DRD2,Opiate dependence,99372,MedGen
272,"[Nutritional and Metabolic Diseases (C18), Endocrine System Diseases (C19)]",Adult-Onset Diabetes Mellitus,disease,C0011860,1813.0,0.8,DRD2,Type 2 diabetes mellitus,41523,MedGen
275,[Mental Disorders (F03)],Affective Disorders,disease,C0525045,1813.0,0.8,DRD2,Mood disorder,99866,MedGen
278,[Mental Disorders (F03)],MAJOR DEPRESSIVE DISORDER,disease,C1269683,1813.0,0.8,DRD2,Major depressive disorder,266123,MedGen
284,[Mental Disorders (F03)],Bipolar Disorders,disease,C0005586,1813.0,0.8,DRD2,Bipolar affective disorder,2649,MedGen
291,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Dystonia,phenotype,C0013421,1813.0,0.8,DRD2,Dystonic disorder,3940,MedGen
293,[Nervous System Diseases (C10)],Parkinsonism,disease,C0242422,1813.0,0.8,DRD2,Parkinsonian disorder,66079,MedGen
297,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",Heroin Dependence,disease,C0019337,1813.0,0.8,DRD2,Heroin dependence,5532,MedGen
302,[Mental Disorders (F03)],Depressive neurosis,disease,C0011581,1813.0,0.8,DRD2,Depression,4229,MedGen
308,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Dependence, Nicotine",disease,C0028043,1813.0,0.75,DRD2,Nicotine dependence,45086,MedGen
312,[Mental Disorders (F03)],"Depressions, Unipolar",disease,C0041696,1813.0,0.75,DRD2,Unipolar Depression,22552,MedGen
317,[Cardiovascular Diseases (C14)],High blood pressure,disease,C0020538,1813.0,0.75,DRD2,Hypertensive disorder,6969,MedGen
319,"[Pathological Conditions, Signs and Symptoms (C23)]","Gains, Weight",phenotype,C0043094,1813.0,0.75,DRD2,Increased body weight,12145,MedGen
327,"[Psychological Phenomena (F02), Pathological Conditions, Signs and Symptoms (C23)]",Pain,phenotype,C0030193,1813.0,0.75,DRD2,Pain,45282,MedGen
329,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Dyskinesia,disease,C0013384,1813.0,0.75,DRD2,Dyskinesia,8514,MedGen
334,"[Endocrine System Diseases (C19), Nervous System Diseases (C10)]",Hyperprolactinemia,disease,C0020514,1813.0,0.75,DRD2,Hyperprolactinemia,5698,MedGen
338,"[Nervous System Diseases (C10), Neoplasms (C04), Endocrine System Diseases (C19)]","Neoplasm, Pituitary",disease,C0032019,1813.0,0.75,DRD2,Neoplasm of the pituitary gland,19326,MedGen
349,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Abuse, Alcohol",disease,C0085762,1813.0,0.7,DRD2,Alcohol abuse,39339,MedGen
350,"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14)]",Tachycardia,phenotype,C0039231,1813.0,0.7,DRD2,Tachycardia,21453,MedGen
355,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine abuse,disease,C0009171,1813.0,0.65,DRD2,Cocaine abuse,3136,MedGen
359,"[Pathological Conditions, Signs and Symptoms (C23), Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10)]",Anhedonia,disease,C0178417,1813.0,0.65,DRD2,Anhedonia,64230,MedGen
365,[Nervous System Diseases (C10)],DYT11,disease,C1834570,1813.0,0.65,DRD2,Myoclonic dystonia 11,331778,MedGen
370,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Catalepsies,disease,C0007370,1813.0,0.65,DRD2,Catalepsy,40134,MedGen
372,[Cardiovascular Diseases (C14)],Hypotension,phenotype,C0020649,1813.0,0.65,DRD2,Hypotension,5715,MedGen
377,[Nervous System Diseases (C10)],Migraine with aura,disease,C0154723,1813.0,0.65,DRD2,Migraine with aura,57822,MedGen
382,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]","Dependence, Cannabis",disease,C0006870,1813.0,0.65,DRD2,Cannabis dependence,14303,MedGen
390,"[Pathological Conditions, Signs and Symptoms (C23), Cardiovascular Diseases (C14)]",Bradycardia,phenotype,C0428977,1813.0,0.65,DRD2,Bradycardia,140901,MedGen
392,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]",TOBACCO ABUSE,disease,C0040336,1813.0,0.65,DRD2,Tobacco use disorder,21192,MedGen
393,[Mental Disorders (F03)],"Disorders, Impulse Control",disease,C0021122,1813.0,0.6000000000000001,DRD2,Impulse control disorder,5769,MedGen
400,"[Behavior and Behavior Mechanisms (F01), Mental Disorders (F03), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Delirium,disease,C0011206,1813.0,0.6000000000000001,DRD2,Delirium,41445,MedGen
404,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Language Disorder,disease,C0023015,1813.0,0.6000000000000001,DRD2,Language disorder,44069,MedGen
411,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Hyperkinesia,disease,C3887506,1813.0,0.55,DRD2,Hyperkinetic movements,854367,MedGen
415,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine Related Disorders,disease,C0236736,1813.0,0.55,DRD2,Cocaine-Related Disorders,66741,MedGen
419,"[Urogenital Diseases (C12), Pathological Conditions, Signs and Symptoms (C23)]","Kidney Failure, Chronic",disease,C0022661,1813.0,0.55,DRD2,Chronic renal failure syndrome,9637,MedGen
422,[Mental Disorders (F03)],depression recurrent,disease,C0221480,1813.0,0.5,DRD2,Recurrent depression,526253,MedGen
424,[Mental Disorders (F03)],"Major depressive disorder, single episode, unspecified degree",disease,C0024517,1813.0,0.5,DRD2,"Major depression, single episode",44255,MedGen
427,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Substance-Related Disorders,disease,C0236969,1813.0,0.5,DRD2,Substance-related disorder,66746,MedGen
430,"[Chemically-Induced Disorders (C25), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Drug-Induced Dyskinesia,disease,C0013386,1813.0,0.45,DRD2,Drug-induced dyskinesia,3935,MedGen
435,[Mental Disorders (F03)],"Disorders, Organic Mental",disease,C0029227,1813.0,0.4,DRD2,Organic mental disorder,14510,MedGen
439,[Mental Disorders (F03)],Child Development Disorder,disease,C0008073,1813.0,0.4,DRD2,Developmental disorder,3367,MedGen
443,[Nervous System Diseases (C10)],Basal Ganglia Disease,disease,C0004782,1813.0,0.4,DRD2,Disorder of basal ganglia,14035,MedGen
448,"[Skin and Connective Tissue Diseases (C17), Urogenital Diseases (C12)]",Chiari Frommel Syndrome,disease,C0008043,1813.0,0.4,DRD2,Postpartum amenorrhea-galactorrhea syndrome,2993,MedGen
450,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,4129.0,1.0,MAOB,Parkinson disease,10590,MedGen
461,"[Mental Disorders (F03), Nervous System Diseases (C10)]",Alzheimer Disease,disease,C0002395,4129.0,0.95,MAOB,Alzheimer disease,1853,MedGen
467,[Mental Disorders (F03)],Depressive neurosis,disease,C0011581,4129.0,0.85,MAOB,Depression,4229,MedGen
473,[Mental Disorders (F03)],MAJOR DEPRESSIVE DISORDER,disease,C1269683,4129.0,0.75,MAOB,Major depressive disorder,266123,MedGen
485,[Mental Disorders (F03)],Schizophrenias,disease,C0036341,4129.0,0.75,MAOB,Schizophrenia,48574,MedGen
493,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Alcoholism,disease,C0001973,4129.0,0.7,MAOB,Alcohol dependence,1801,MedGen
494,[Mental Disorders (F03)],"Depressions, Unipolar",disease,C0041696,4129.0,0.65,MAOB,Unipolar Depression,22552,MedGen
496,[Mental Disorders (F03)],Childhood autism,disease,C0004352,4129.0,0.65,MAOB,Autism,13966,MedGen
504,[Mental Disorders (F03)],Bipolar Disorders,disease,C0005586,4129.0,0.6000000000000001,MAOB,Bipolar affective disorder,2649,MedGen
509,[Mental Disorders (F03)],Affective Disorders,disease,C0525045,4129.0,0.6000000000000001,MAOB,Mood disorder,99866,MedGen
514,"[Digestive System Diseases (C06), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]","Encephalopathies, Hepatic",disease,C0019151,4129.0,0.55,MAOB,Hepatic encephalopathy,5513,MedGen
521,"[Nervous System Diseases (C10), Mental Disorders (F03), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)]","Chorea, Huntington",disease,C0020179,4129.0,0.5,MAOB,Huntington disease,5654,MedGen
530,[Urogenital Diseases (C12)],Endometrioses,disease,C0014175,4129.0,0.4,MAOB,Endometriosis,8620,MedGen
533,[Cardiovascular Diseases (C14)],Hypotension,phenotype,C0020649,4129.0,0.4,MAOB,Hypotension,5715,MedGen
539,[Hemic and Lymphatic Diseases (C15)],"Anemia, Megaloblastic",disease,C0002888,4129.0,0.4,MAOB,Megaloblastic anemia,1527,MedGen
547,"[Digestive System Diseases (C06), Neoplasms (C04)]",COLONIC NEOPLASM,disease,C0009375,4129.0,0.4,MAOB,Colonic neoplasm,3165,MedGen
549,[Neoplasms (C04)],Pheochromocytoma,disease,C0031511,4129.0,0.4,MAOB,Pheochromocytoma,18419,MedGen
554,[Neoplasms (C04)],Extra-Adrenal Pheochromocytoma,disease,C1257877,4129.0,0.4,MAOB,Extraadrenal pheochromocytoma,263453,MedGen
559,[Nervous System Diseases (C10)],Parkinsonism,disease,C0242422,120892.0,1.0,LRRK2,Parkinsonian disorder,66079,MedGen
563,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,120892.0,1.0,LRRK2,Parkinson disease,10590,MedGen
571,[],PARK8,disease,C1846862,120892.0,0.8999999999999999,LRRK2,Autosomal dominant Parkinson disease 8,339628,MedGen
575,[Nervous System Diseases (C10)],Early onset Parkinson's disease,disease,C4275179,120892.0,0.75,LRRK2,Young-onset Parkinson disease,907947,MedGen
579,[Nervous System Diseases (C10)],Hereditary late onset Parkinson disease,disease,C4274355,120892.0,0.6000000000000001,LRRK2,Autosomal dominant late onset Parkinson disease,896543,MedGen
581,"[Mental Disorders (F03), Nutritional and Metabolic Diseases (C18), Nervous System Diseases (C10)]",Frontotemporal dementia,disease,C0338451,120892.0,0.6000000000000001,LRRK2,Frontotemporal dementia,83266,MedGen
589,"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]","Ataxia, Spinocerebellar",disease,C0087012,120892.0,0.5,LRRK2,Spinocerebellar atrophy,39733,MedGen
598,"[Pathological Conditions, Signs and Symptoms (C23)]","Losses, Weight",phenotype,C1262477,120892.0,0.45,LRRK2,Weight loss,853198,MedGen
601,"[Musculoskeletal Diseases (C05), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Muscle Rigidity,phenotype,C0026837,120892.0,0.45,LRRK2,Rigidity,7752,MedGen
605,[Digestive System Diseases (C06)],"Colitis, granulomatous",disease,C0156147,120892.0,0.45,LRRK2,Crohn disease of large bowel,57618,MedGen
608,[Neoplasms (C04)],mucinous adenocarcinoma of ovary (diagnosis),disease,C1335167,120892.0,0.4,LRRK2,Ovarian mucinous adenocarcinoma,235418,MedGen
612,[Neoplasms (C04)],Ovarian Serous Adenocarcinoma,disease,C1335177,120892.0,0.4,LRRK2,Ovarian serous adenocarcinoma,233278,MedGen
616,[Eye Diseases (C11)],Blepharoptoses,disease,C0005745,120892.0,0.4,LRRK2,Ptosis,2287,MedGen
620,"[Pathological Conditions, Signs and Symptoms (C23)]","Degeneration, Nerve",phenotype,C0027746,120892.0,0.4,LRRK2,Neurodegeneration,17999,MedGen
626,"[Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Musculoskeletal Diseases (C05)]","KLIPPEL-FEIL SYNDROME, AUTOSOMAL DOMINANT",disease,C1861689,120892.0,0.4,LRRK2,"Klippel-Feil syndrome 1, autosomal dominant",396196,MedGen
629,[],"LEPROSY, SUSCEPTIBILITY TO, 1",phenotype,C1835932,120892.0,0.4,LRRK2,"Leprosy, susceptibility to, 1",332089,MedGen
635,[Urogenital Diseases (C12)],Endometrioses,disease,C0014175,120892.0,0.4,LRRK2,Endometriosis,8620,MedGen
640,"[Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10), Mental Disorders (F03)]",Early onset Alzheimer disease with behavioral disturbance,disease,C3697680,120892.0,0.4,LRRK2,Early onset Alzheimer disease with behavioral disturbance,784944,MedGen
642,[Nervous System Diseases (C10)],PD,disease,C3160718,120892.0,0.4,LRRK2,"Parkinson disease, late-onset",463618,MedGen
652,"[Urogenital Diseases (C12), Neoplasms (C04)]",Renal cell carcinoma,disease,C0007134,120892.0,0.4,LRRK2,Renal cell carcinoma,766,MedGen
654,[],Brain atrophy,disease,C4551584,120892.0,0.4,LRRK2,Brain atrophy,1643639,MedGen
656,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,6531.0,0.95,SLC6A3,Parkinson disease,10590,MedGen
666,[Nervous System Diseases (C10)],"Parkinsonism-Dystonia, Infantile",disease,C2751067,6531.0,0.95,SLC6A3,"Parkinsonism-dystonia, infantile",413468,MedGen
677,[Mental Disorders (F03)],Schizophrenias,disease,C0036341,6531.0,0.9,SLC6A3,Schizophrenia,48574,MedGen
686,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Alcoholism,disease,C0001973,6531.0,0.85,SLC6A3,Alcohol dependence,1801,MedGen
687,[Mental Disorders (F03)],Depressive neurosis,disease,C0011581,6531.0,0.85,SLC6A3,Depression,4229,MedGen
693,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Hyperkinesia,disease,C3887506,6531.0,0.7999999999999999,SLC6A3,Hyperkinetic movements,854367,MedGen
695,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine dependence,disease,C0600427,6531.0,0.75,SLC6A3,Cocaine dependence,154705,MedGen
701,[Nervous System Diseases (C10)],"Diseases, Nervous System",disease,C0027765,6531.0,0.75,SLC6A3,Disorder of nervous system,14336,MedGen
704,"[Nutritional and Metabolic Diseases (C18), Pathological Conditions, Signs and Symptoms (C23)]",Obesity,disease,C0028754,6531.0,0.75,SLC6A3,Obesity,18127,MedGen
713,[Mental Disorders (F03)],Bipolar Disorders,disease,C0005586,6531.0,0.75,SLC6A3,Bipolar affective disorder,2649,MedGen
718,[Mental Disorders (F03)],Anxiety Disorder,disease,C0003469,6531.0,0.75,SLC6A3,Anxiety disorder,361,MedGen
725,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Abuse, Alcohol",disease,C0085762,6531.0,0.7,SLC6A3,Alcohol abuse,39339,MedGen
727,"[Mental Disorders (F03), Chemically-Induced Disorders (C25)]","Dependence, Nicotine",disease,C0028043,6531.0,0.7,SLC6A3,Nicotine dependence,45086,MedGen
731,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine abuse,disease,C0009171,6531.0,0.65,SLC6A3,Cocaine abuse,3136,MedGen
735,[Mental Disorders (F03)],Mild cognitive disorder,disease,C1270972,6531.0,0.65,SLC6A3,mild cognitive disorder,220863,MedGen
738,[Mental Disorders (F03)],Affective Disorders,disease,C0525045,6531.0,0.65,SLC6A3,Mood disorder,99866,MedGen
743,"[Mental Disorders (F03), Nervous System Diseases (C10)]",Tic Disorders,disease,C0040188,6531.0,0.65,SLC6A3,Tic,21556,MedGen
748,"[Chemically-Induced Disorders (C25), Mental Disorders (F03), Nervous System Diseases (C10)]",Alcohol Withdrawal Delirium,disease,C0001957,6531.0,0.6000000000000001,SLC6A3,Alcohol withdrawal delirium,1398,MedGen
750,"[Skin and Connective Tissue Diseases (C17), Neoplasms (C04)]","Cancer, Breast",disease,C0006142,6531.0,0.6000000000000001,SLC6A3,Malignant tumor of breast,651,MedGen
754,"[Nervous System Diseases (C10), Mental Disorders (F03), Pathological Conditions, Signs and Symptoms (C23)]",Reading disorder,disease,C0476254,6531.0,0.6000000000000001,SLC6A3,Dyslexia,96906,MedGen
759,"[Chemically-Induced Disorders (C25), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",ALCOHOL WITHDRAWAL IND SEIZURE,disease,C0586323,6531.0,0.6000000000000001,SLC6A3,Alcohol-induced epilepsy,108446,MedGen
765,[Mental Disorders (F03)],"Disorders, Paranoid",disease,C1456784,6531.0,0.6000000000000001,SLC6A3,Paranoia,306130,MedGen
770,"[Behavior and Behavior Mechanisms (F01), Mental Disorders (F03), Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Delirium,disease,C0011206,6531.0,0.6000000000000001,SLC6A3,Delirium,41445,MedGen
774,"[Pathological Conditions, Signs and Symptoms (C23), Behavior and Behavior Mechanisms (F01), Nervous System Diseases (C10)]",Anhedonia,disease,C0178417,6531.0,0.55,SLC6A3,Anhedonia,64230,MedGen
780,[Mental Disorders (F03)],severe major depressive disorder with psychotic features,disease,C0270458,6531.0,0.5,SLC6A3,Severe major depression with psychotic features,542755,MedGen
781,[Behavior and Behavior Mechanisms (F01)],Irritation,phenotype,C2700617,6531.0,0.45,SLC6A3,Irritability,397841,MedGen
783,[],"PARKINSONISM-DYSTONIA, INFANTILE, 1",disease,C5700336,6531.0,0.45,SLC6A3,Classic dopamine transporter deficiency syndrome,1814585,MedGen
787,"[Pathological Conditions, Signs and Symptoms (C23), Nervous System Diseases (C10)]",Limb dystonia,phenotype,C0751093,6531.0,0.45,SLC6A3,Limb dystonia,152944,MedGen
790,[],"TOBACCO ADDICTION, SUSCEPTIBILITY TO",phenotype,C1861063,6531.0,0.4,SLC6A3,"Tobacco addiction, susceptibility to",348778,MedGen
793,"[Digestive System Diseases (C06), Otorhinolaryngologic Diseases (C09)]",Deglutition Disorders,disease,C0011168,6531.0,0.4,SLC6A3,Dysphagia,41440,MedGen
800,"[Pathological Conditions, Signs and Symptoms (C23)]",Ambulation Difficulty,phenotype,C0311394,6531.0,0.4,SLC6A3,Difficulty walking,86319,MedGen
801,[],Gait imbalance,phenotype,C1836150,6531.0,0.4,SLC6A3,Gait imbalance,373028,MedGen
805,[],"NICOTINE DEPENDENCE, PROTECTION AGAINST",phenotype,C4016025,6531.0,0.4,SLC6A3,"Nicotine dependence, protection against",864462,MedGen
808,"[Chemically-Induced Disorders (C25), Mental Disorders (F03)]",Cocaine Related Disorders,disease,C0236736,6531.0,0.4,SLC6A3,Cocaine-Related Disorders,66741,MedGen
810,"[Pathological Conditions, Signs and Symptoms (C23)]","Degeneration, Nerve",phenotype,C0027746,6531.0,0.4,SLC6A3,Neurodegeneration,17999,MedGen
817,"[Nervous System Diseases (C10), Pathological Conditions, Signs and Symptoms (C23)]",Speech and language delay,phenotype,C0454644,6531.0,0.4,SLC6A3,Delayed speech and language development,105318,MedGen
823,"[Nutritional and Metabolic Diseases (C18), Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16), Nervous System Diseases (C10)]",Gaucher Disease,disease,C0017205,2629.0,1.0,GBA1,Gaucher disease,42164,MedGen
828,[Nervous System Diseases (C10)],Parkinson Disease,disease,C0030567,2629.0,1.0,GBA1,Parkinson disease,10590,MedGen
