"id","UniProt","Symbol","Ligand Name","Ligand Is Drug","Ligand SMILES","Ligand PubChem ID","Ligand ChEMBL ID","Ligand Guide to Pharmacology ID","Ligand DrugCentral ID","Ligand Description","Preferred Term","UNII","Ligand Activity","Ligand Activity Type","Ligand Action","Ligand References","Ligand Reference Source","Ligand PubMed IDs"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.4,"EC50",,"Bioorg. Med. Chem., (2013) 21:14:4143",,"23727194"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.38,"IC50",,"Eur. J. Med. Chem., (2015) 92:None:221",,"25557493"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.24,"EC50",,"J. Med. Chem., (2004) 47:15:3853",,"15239663"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8.24,"EC50",,"J. Med. Chem., (2006) 49:25:7450",,"17149874"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8,"EC50",,"ACS Med Chem Lett, (2020) 11:3:385",,"32184974"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",8,"EC50",,"ACS Med Chem Lett, (2020) 11:3:385",,"32184974"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.9,"EC50",,"Bioorg Med Chem Lett, (2018) 28:11:2039",,"29730027"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.7,"EC50",,"Bioorg. Med. Chem. Lett., (2007) 17:24:6691",,"17976986"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.62,"Kd",,"J. Med. Chem., (1996) 39:4:850",,"8632409"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.58,"Ki",,"J. Med. Chem., (1993) 36:8:1053",,"8097537"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.58,"Ki",,"J. Med. Chem., (1993) 36:8:1069",,"8097538"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.55,"Ki",,"J. Med. Chem., (1994) 37:21:3523",,"7932581"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.5,"Ki",,"Bioorg. Med. Chem., (2008) 16:8:4563",,"18313931"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"J. Med. Chem., (2000) 43:7:1339",,"10753471"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"J. Med. Chem., (1995) 38:4:647",,"7861413"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"J. Med. Chem., (1996) 39:18:3503",,"8784448"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"Bioorg. Med. Chem. Lett., (2001) 11:3:367",,"11212112"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"J. Med. Chem., (1996) 39:18:3491",,"8784447"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"J. Med. Chem., (2001) 44:9:1337",,"11311055"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"Eur J Med Chem, (2019) 180:None:383",,"31325785"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.38,"Ki",,"Eur J Med Chem, (2019) 166:None:144",,"30703658"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.3,"Ki",,"Eur. J. Med. Chem., (2012) 55:None:255",,"22846798"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.28,"Ki",,"Bioorg. Med. Chem., (2013) 21:14:4143",,"23727194"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.09,"Ki",,"Bioorg Med Chem Lett, (2020) 30:8:127053",,"32107165"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",7.01,"Ki",,"Bioorg. Med. Chem., (2008) 16:14:6675",,"18562201"
570,"P14416","DRD2","apomorphine",1,"CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O","6005","CHEMBL53","33","228","A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","APOMORPHINE","N21FAR7B4S",9.21,"Ki","AGONIST","https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL53","CHEMBL",
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.10000038,"Ki",,,,"23279866"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.7,"",,,,"10617689"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",7.42000008,"EC50",,,,"22025698"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.7,"Ki",,"Bioorg. Med. Chem. Lett., (2013) 23:2:543",,"23237836"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.47,"Ki",,"Eur J Med Chem, (2019) 183:None:111736",,"31586817"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.46,"Ki",,"J. Med. Chem., (2015) 58:14:5361",,"25826710"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.42,"Ki",,"J Med Chem, (2017) 60:11:4693",,"28489379"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.42,"Ki",,"Bioorg Med Chem, (2017) 25:20:5613",,"28870802"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.35,"Ki",,"J. Med. Chem., (2014) 57:11:4861",,"24831693"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.35,"Ki",,"J Med Chem, (2017) 60:7:2908",,"28248104"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.32,"Ki",,"Bioorg. Med. Chem., (2015) 23:18:6195",,"26299826"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.32,"Ki",,"J Med Chem, (2017) 60:7:2890",,"28300398"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.28,"Ki",,"J Med Chem, (2017) 60:7:2908",,"28248104"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.28,"Ki",,"J Med Chem, (2017) 60:11:4693",,"28489379"
570,"P14416","DRD2","aripiprazole",1,"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1","60795","CHEMBL1112","34","242","A piperazine and quinolone derivative that is used primarily as an antipsychotic agent. It is a partial agonist of SEROTONIN RECEPTOR, 5-HT1A and DOPAMINE D2 RECEPTORS, where it also functions as a post-synaptic antagonist, and an antagonist of SEROTONIN RECEPTOR, 5-HT2A. It is used for the treatment of SCHIZOPHRENIA and BIPOLAR DISORDER, and as an adjunct therapy for the treatment of depression.","ARIPIPRAZOLE","82VFR53I78",9.28,"Ki",,"Bioorg Med Chem, (2017) 25:20:5613",,"28870802"
