CUI,MSH
C0010414,D003453
C0010417,D003456
C0010606,D003528
C0010636,D018292
C0009774,D003236
C0009792,D003244
C0009866,D000073516
C0009917,D003286
C0009952,D003294
C0009983,D003303
C0010043,D003320
C0010051,D003323
C0010073,D003329
C0010093,D010048
C0010192,D003366
C0010267,D003390
C0010701,D003557
C0010823,D003586
C0010964,D003616
C0011053,D003638
C0011103,D003655
C0011119,D003665
C0011156,D003677
C0011168,D003680
C0011195,D015417
C0011206,D003693
C0011226,D003699
C0011269,D015140
C0011346,D003741
C0011389,D003773
C0010276,D003397
C0011405,D003788
C0011428,D003803
C0011434,D003809
C0011436,D003811
C0011548,D003859
C0011603,D003872
C0010324,D003414
C0011608,D003874
C0010340,D016638
C0010418,D003457
C0010474,D004381
C0010334,D003420
C0010346,D003424
C0010357,D003429
C0010380,D003440
C0011644,D012594
C0011757,D019957
C0010481,D003480
C0010403,D003449
C0010308,D003409
C0010356,D003428
C0011860,D003924
C0011881,D003928
C0011974,D003963
C0011989,D003966
C0011992,D003968
C0012242,D004066
C0012243,D004067
C0010520,D003490
C0010590,D003523
C0010598,D003527
C0010631,D003536
C0010633,D003537
C0010674,D003550
C0010691,D003555
C0010692,D003556
C0010695,D052858
C0010709,D003560
C0011175,D003681
C0011194,D003690
C0010495,D003483
C0010635,D018291
C0010668,D015615
C0010678,D003551
C0010930,D003607
C0011251,D012563
C0011304,D003711
C0011320,D003719
C0011334,D003731
C0011378,D003763
C0011407,D003790
C0011430,D003805
C0011432,D003807
C0011057,D003639
C0011070,D012297
C0012655,D004198
C0012684,D020964
C0012715,D019189
C0012754,D004216
C0012811,D004241
C0012813,D004238
C0012814,D004239
C0012819,D043963
C0012833,D004244
C0012860,D004249
C0013069,D004310
C0013080,D004314
C0013222,D019966
C0013261,D004370
C0011124,D007989
C0011580,D000341
C0011581,D003866
C0013292,D004380
C0013299,D004383
C0013338,D004393
C0011253,D003702
C0011609,D003875
C0010827,D003588
C0011052,D003638
C0011085,D003649
C0013363,D054969
C0013366,D010009
C0013370,D004404
C0011303,D003711
C0011351,D003744
C0011361,D003751
C0011383,D003767
C0011400,D003790
C0011401,D003784
C0011551,D003861
C0011572,D003864
C0011574,D003865
C0011606,D003873
C0011616,D003877
C0011633,D003882
C0013374,D004406
C0013378,D004408
C0013386,D004409
C0011880,D016883
C0011884,D003930
C0011645,C562379
C0011649,D003884
C0011263,D015161
C0013395,D004415
C0013403,D004416
C0013456,D004433
C0013467,D013801
C0011998,D003970
C0011813,D003914
C0011854,D003922
C0011859,D003923
C0011999,D009436
C0012102,D004011
C0012118,D004022
C0012166,D015623
C0012517,D004154
C0012561,D004169
C0012569,D004172
C0012602,D004184
C0012734,D019958
C0011311,D003715
C0011330,D003728
C0011406,D003789
C0011911,D019411
C0013481,D004437
C0013491,D004438
C0013578,D004478
C0011599,D016136
C0011615,D003876
C0011630,D003881
C0011848,D003919
C0011849,D003920
C0013581,D004479
C0013589,D004480
C0013604,D004487
C0013608,D004489
C0011993,D003969
C0011875,D003925
C0011882,D003929
C0011981,D003965
C0011991,D003967
C0013727,D004538
C0013743,D004541
C0013926,D004618
C0013927,D004619
C0013930,D009360
C0014008,D004652
C0014014,D004654
C0014038,D004660
C0012147,D004030
C0012156,D004033
C0012359,D004108
C0012236,D004062
C0012624,D015299
C0012634,D004194
C0012482,D017189
C0012628,D021922
C0012675,D004200
C0012691,D004204
C0012739,D004211
C0012746,D004213
C0013132,D012798
C0013159,D004336
C0013220,D004361
C0013264,D020388
C0013298,D004382
C0013336,D004392
C0013369,D004403
C0013384,D020820
C0013388,D004411
C0013390,D004412
C0013393,D004413
C0013418,D004420
C0013423,D004422
C0014065,D004677
C0013533,D004457
C0013568,D004473
C0013575,D004476
C0013595,D004485
C0013658,D004522
C0013882,D004604
C0013903,D004613
C0013911,D004614
C0013922,D004617
C0013076,D004313
C0012817,D004240
C0012922,D004266
C0012979,D004283
C0013182,D004342
C0013240,D004368
C0014074,D004683
C0014077,D004684
C0014084,D004687
C0014089,D004688
C0013274,D004374
C0013295,D004381
C0013312,D004387
C0013362,D004401
C0013364,D004402
C0014100,D004692
C0014116,D004694
C0014121,D004697
C0014175,D004715
C0014326,D004404
C0014327,D004750
C0014335,D004751
C0013985,D000342
C0013081,D015536
C0013100,D004320
C0013215,D004357
C0013238,D015352
C0013259,D009105
C0013404,D004417
C0013405,D004418
C0013415,D019263
C0013421,D004421
C0014054,D004675
C0014371,D004767
C0013502,D004443
C0013504,D004444
C0013288,D004377
C0013289,D004378
C0013291,D004379
C0013537,D004461
C0013580,D054083
C0013605,D004488
C0013720,D004535
C0013755,D005368
C0013846,D004579
C0014060,D004674
C0013895,D019960
C0014518,D013262
C0014070,D004679
C0014118,D004696
C0014130,D004700
C0014132,D004701
C0014173,D004714
C0014179,D004716
C0014549,D004830
C0014556,D004833
C0014557,D004834
C0014558,D004833
C0014583,D015423
C0014588,D004842
C0014591,D004844
C0014661,D004859
C0014670,D004863
C0014743,D004893
C0014848,D004931
C0014850,D004933
C0014856,D004937
C0014860,D004939
C0014274,D004735
C0014324,D004749
C0014356,D004760
C0014358,D004761
C0014378,D004769
C0014429,D004789
C0014457,D004802
C0014458,D004802
C0014867,D004932
C0013949,D005315
C0014007,D004651
C0014012,D002764
C0014013,D016724
C0014053,D004670
C0014055,D004671
C0013371,D004405
C0013377,D004407
C0014877,D004948
C0015190,D005067
C0015230,D005076
C0015231,D005077
C0015263,D001250
C0015310,D005099
C0015398,D015785
C0015406,D015822
C0015411,D005132
C0015424,D005142
C0015456,D005148
C0015468,D005157
C0015503,D005168
C0014474,D004806
C0014521,D004818
C0014536,D015174
C0014541,D004826
C0014548,D004829
C0014724,D004884
C0014733,D004886
C0014741,D004891
C0014057,D004672
C0013428,D053159
C0013447,D004427
C0013449,D004428
C0013473,D001068
C0013505,D004445
C0013514,D004451
C0013528,D004454
C0013570,D004474
C0014761,D004899
C0014804,D004916
C0013591,D004482
C0013592,D004483
C0014836,D004927
C0013772,D004552
C0013884,D004605
C0013902,D004612
C0013928,D004620
C0015644,D005207
C0015645,D005208
C0014852,D004935
C0014869,D004942
C0014061,D004675
C0014009,D004653
C0015672,D005221
C0015674,D015673
C0015732,D005242
C0015799,D005262
C0015029,D015521
C0015300,D005094
C0014068,D004678
C0015924,D005311
C0015927,D005313
C0015944,D005322
C0015951,D005327
C0016034,D005348
C0015306,D005097
C0015378,D005119
C0015382,D005120
C0015403,D015817
C0015461,D005153
C0015464,D005155
C0014059,D004673
C0015556,D005184
C0014078,D004685
C0014067,D004677
C0014073,D004682
C0014122,D004698
C0016053,D005356
C0016059,D005355
C0015634,D005203
C0015655,D005213
C0015663,D005215
C0015930,D005316
C0016142,D005391
C0016169,D005402
C0016199,D021501
C0016436,D005499
C0016506,D005530
C0016508,D005532
C0016510,D005534
C0016513,D005535
C0016522,D054092
C0016629,D005586
C0016047,D014412
C0016049,D005351
C0016057,D005354
C0016085,D005368
C0016167,D005401
C0016196,D005409
C0016395,D005489
C0016398,D005491
C0016399,D020938
C0016470,D005512
C0016509,D005533
C0016735,D015522
C0016927,D005683
C0016928,D005684
C0014117,D004695
C0014145,D018240
C0014236,D009877
C0014306,D015841
C0014342,D004753
C0014476,D009175
C0014481,D004810
C0014511,D004814
C0014170,D016889
C0014347,D004756
C0014390,D004774
C0014394,D004775
C0014439,D004795
C0014461,D004803
C0016665,D005599
C0016667,D005600
C0014531,D014005
C0014544,D004827
C0014550,D004831
C0016724,D007027
C0014571,D004839
C0016756,D015319
C0014522,D004819
C0014647,D006101
C0014736,D004889
C0014740,D015787
C0014742,D004892
C0014752,D004894
C0014805,D004916
C0014818,D004919
C0014859,D004938
C0014863,D015155
C0016842,D005660
C0016867,D005667
C0016873,D005671
C0016978,D005706
C0014527,D004820
C0014534,D004823
C0014547,D004828
C0014553,D004832
C0017086,D005734
C0015326,D005105
C0015371,D001480
C0015393,D005124
C0015397,D005128
C0015402,D005130
C0015407,D015828
C0015414,D005134
C0015457,D005149
C0014799,D010267
C0015458,D005150
C0015467,D005156
C0015499,D005166
C0015519,D005171
C0015523,D005173
C0015530,D005177
C0015624,D005198
C0015643,D002037
C0015676,D005222
C0015696,D005235
C0015702,D005236
C0015734,D005244
C0015765,D005254
C0015773,D005258
C0015814,D005271
C0015852,D005285
C0015923,D063647
C0015957,D005329
C0015959,D005331
C0015970,D005335
C0014851,D004934
C0014858,D015154
C0014866,D004940
C0014868,D004941
C0015269,D005084
C0015404,D015818
C0015405,D015821
C0015423,D005141
C0015469,D005158
C0015480,D005162
C0015526,D005175
C0015558,D005185
C0017155,D005758
C0017160,D005759
C0017097,D005736
C0017150,D015408
C0017162,D005761
C0017181,D006471
C0017332,D004829
C0017407,D005155
C0017411,D005831
C0017412,D005832
C0016048,D005350
C0016052,D005352
C0017494,D005862
C0015625,D005199
C0015632,D004675
C0015652,D005211
C0015656,D014201
C0015668,D005218
C0015695,D005234
C0017409,D016697
C0017416,D005833
C0017536,D005873
C0017495,D016098
C0015704,D005148
C0017547,D005877
C0017531,D005871
C0017551,D005878
C0017563,D005882
C0017565,D005884
C0017574,D005891
C0017601,D005901
C0017605,D015812
C0015802,D005264
C0015807,D005266
C0015929,D005315
C0015934,D005317
C0017612,D005902
C0017636,D005909
C0017658,D005921
C0015938,D005320
C0015967,D005334
C0016024,D000232
C0016037,D009221
C0016064,D005358
C0016154,D005393
C0017675,D005928
C0016202,D005413
C0016204,D005414
C0016412,D005494
C0016514,D005536
C0016579,D010292
C0016382,D005483
C0017661,D005922
C0017662,D015432
C0017672,D005926
C0017689,D005935
C0017715,D005943
C0017920,D005953
C0016655,D000069076
C0016663,D005598
C0016689,D008548
C0016719,D005621
C0016722,D020018
C0016751,D005633
C0016397,D005490
C0016528,D005540
C0016549,D005549
C0016781,D005642
C0016788,D005645
C0017926,D006014
C0018018,D015511
C0018036,D006978
C0018051,D006059
C0016627,D005585
C0016632,D005588
C0016697,D005611
C0016815,D005652
C0018055,D006060
C0018081,D006069
C0018121,D059270
C0018129,D006084
C0018134,D006087
C0018179,D003317
C0018188,D006099
C0018196,D006102
C0017923,D006011
C0017924,D006012
C0017952,D006019
C0017979,D006029
C0016752,D015318
C0016952,D005693
C0016977,D005705
C0017083,D005733
C0016879,D005674
C0017075,D005729
C0018378,D020275
C0018414,D006175
C0018425,D015799
C0018482,D006192
C0018273,D006130
C0018462,D006184
C0018500,D006201
C0018520,D006209
C0017105,D005738
C0017128,D005747
C0017145,D004932
C0017154,D005757
C0017205,D005776
C0017417,D005834
C0017566,D005885
C0017567,D005886
C0017572,D005889
C0018523,D006211
C0018552,D006222
C0017609,D015355
C0018621,D006255
C0018681,D006261
C0018779,D006315
C0018780,D006316
C0018784,D006319
C0018798,D006330
C0018808,D006337
C0018813,D006341
C0018816,D006343
C0017152,D005756
C0017639,D005911
C0017650,D000079564
C0017653,D005918
C0017665,D015433
C0018536,D006215
C0018553,D006223
C0018567,D006229
C0018572,D006232
C0018818,D006345
C0018824,D006349
C0018835,D006357
C0017168,D005764
C0017178,D005767
C0017185,D005770
C0017455,D005847
C0018614,D002189
C0017671,D005925
C0017919,D006008
C0017525,D005870
C0018801,D006333
C0017921,D006009
C0018021,D006042
C0017570,D005887
C0018050,D006058
C0018054,D006061
C0018099,D006073
C0018133,D006086
C0018889,D006373
C0018915,D006390
C0018817,D006344
C0018199,D006104
C0018203,D006105
C0018245,D003317
C0018477,D006188
C0018522,D006210
C0018524,D006212
C0018598,D008546
C0018609,D006250
C0018672,D019956
C0018675,D006258
C0018748,D006297
C0018759,D006304
C0017575,D005892
C0017577,D005882
C0017589,D005896
C0018776,D006313
C0018789,D006322
C0018799,D006331
C0018891,D006374
C0017614,D009798
C0017638,D005910
C0018834,D006356
C0018929,C537337
C0018939,D006402
C0018944,D006406
C0018946,D006408
C0018948,D006409
C0018965,D006417
C0018994,D006431
C0018995,D006432
C0019025,D017086
C0019087,D006474
C0017668,D005923
C0018923,D006394
C0018975,D014786
C0018987,D004480
C0018989,D010291
C0019021,D006445
C0019100,D019595
C0017677,D005929
C0017782,D058545
C0019114,D006486
C0017922,D006010
C0019154,D006502
C0017925,D006013
C0019026,D006447
C0019159,D006506
C0017927,D006015
C0018013,D058429
C0018023,D006044
C0019034,D006450
C0019202,D006527
C0019207,D008114
C0019212,D006530
C0019247,D030342
C0019270,D006547
C0019295,D006552
C0018128,D006083
C0018190,D006100
C0018193,D015745
C0018194,D006101
C0018197,D006103
C0018200,D015769
C0018202,D020293
C0019343,D006559
C0019045,D006453
C0019050,D006457
C0019069,D006467
C0019077,D006468
C0019079,D006469
C0019080,D006470
C0019539,D005067
C0019553,D006616
C0019554,D006617
C0019061,D006463
C0019064,D010490
C0019065,D006465
C0018213,D006111
C0018413,D018312
C0018418,D006177
C0019562,D006623
C0019572,D006628
C0019624,D015616
C0019681,D006677
C0019841,D006691
C0019857,D006700
C0019917,D006726
C0019096,D006478
C0019097,D006478
C0018469,D017205
C0018476,D000711
C0019104,D006482
C0019112,D006484
C0019147,D006501
C0019156,D006504
C0019163,D006509
C0019191,D006522
C0019194,D006524
C0019195,D006525
C0019196,D006526
C0019099,D006479
C0019209,D006529
C0018566,D006228
C0018671,D006258
C0018775,D006312
C0018781,D006317
C0018790,D006323
C0018794,D006327
C0018800,D006332
C0018809,D006338
C0018811,D006340
C0018814,D006342
C0019101,D006480
C0019103,D006481
C0019123,D006491
C0020058,D004908
C0020071,D009477
C0020072,D009477
C0020179,D006816
C0020224,D006831
C0020302,D006871
C0020305,D015160
C0020312,D006876
C0020437,D006934
C0020443,D006937
C0020452,D006940
C0018852,D006362
C0018854,D006362
C0019151,D006501
C0019208,D008114
C0020455,D006942
C0020457,D006944
C0020461,D006947
C0020480,D006953
C0020488,D006955
C0020490,D006956
C0020494,D006957
C0020501,D006960
C0020502,D006961
C0020506,D006964
C0020517,D006967
C0020522,D006968
C0020524,D006970
C0020534,D006972
C0020555,D006983
C0020580,D006987
C0020594,D020018
C0020604,D006998
C0020625,D007010
C0020626,D007011
C0020649,D007022
C0020678,D007039
C0020683,D012769
C0019243,D054179
C0019345,D006560
C0019385,D020803
C0019521,D006606
C0019555,D006618
C0019556,D006619
C0019613,D015620
C0020717,D007048
C0020758,D017490
C0020796,D008607
C0020875,D007077
C0020877,D007079
C0020899,D000067010
C0021051,D007153
C0021148,D007179
C0021171,D007184
C0021280,D007228
C0018903,D006384
C0021390,D015212
C0021613,D007321
C0021712,D009207
C0021847,D007418
C0021890,D007431
C0019316,D000082122
C0019326,D006555
C0019338,D006557
C0019342,D006558
C0022073,D015863
C0022079,D015811
C0022081,D007500
C0022333,D012640
C0022366,D007575
C0022367,D007576
C0022387,D029593
C0022546,D007626
C0022548,D007627
