UniProt,CrystalStructureCount
A0A072FVI7,1
A0A072TMB0,1
A0A072U2X9,1
A0A072VQG6,3
A0A072ZCW8,6
A0A072ZPM2,3
A0A074MDU6,7
A0A074W9U7,3
A0A074Z863,4
A0A075B5G0,1
A0A075B5G2,1
A0A075B5G4,1
A0A075B5G5,1
A0A075B5G8,3
A0A075B5H0,3
A0A075B5H2,2
A0A075B5H4,1
A0A075B5H6,2
A0A075B6C4,3
A0A075B6N1,1
A0A075B6T6,3
A0A075BSX9,1
A0A075C6T6,1
A0A075DN54,6
A0A075E2Q1,1
A0A075ECV2,1
A0A075ETL7,1
A0A075LPR4,1
A0A075LQ94,5
A0A075ML49,1
A0A075R4X6,1
A0A075WKW4,3
A0A076JB57,1
A0A076ML24,1
A0A076MPD7,2
A0A076MY51,2
A0A076MZ01,1
A0A076NBW8,9
A0A076U926,1
A0A076V769,1
A0A076YIY5,1
A0A076YM08,1
A0A076YWK5,1
A0A077D153,1
A0A077E909,1
A0A077E919,1
A0A077EA44,1
A0A077EAN3,1
A0A077EBQ3,1
A0A077ECF2,1
A0A077EDR1,1
A0A077EDS4,1
A0A077EEP0,1
A0A077EER2,1
A0A077EEZ5,1
A0A077EFA5,2
A0A077EGR8,1
A0A077EJ65,1
A0A077EJG6,1
A0A077EJP9,1
A0A077EMQ8,1
A0A077ENB9,1
A0A077EQ93,2
A0A077EWA5,10
A0A077GFB1,2
A0A077JBW9,2
A0A077JG85,1
A0A077JI83,9
A0A077K887,3
A0A077KEB8,3
A0A077KPD5,1
A0A077KT80,2
A0A077KUW8,1
A0A077LQB4,1
A0A077TLQ4,1
A0A078GRH6,1
A0A078L5T0,1
A0A078SSU5,1
A0A078SUX9,2
A0A081CEG8,1
A0A081GU02,1
A0A081KBI6,1
A0A081TVR9,1
A0A084EX36,9
A0A084FYP2,1
A0A084JZF2,2
A0A084QTE3,1
A0A085GHR3,2
A0A085LU44,1
A0A085NFU1,1
A0A086IRG1,1
A0A086SLX8,1
A0A086T6R4,1
A0A087I947,5
A0A087IWB4,2
A0A087KD84,1
A0A087LGV4,2
A0A087WNH1,1
A0A087WNH2,1
A0A087WNH6,6
A0A087WNH8,1
A0A087WT01,1
A0A088BCU2,1
A0A088BEK2,1
A0A088CB91,1
A0A088DBJ8,2
A0A088E2H7,2
A0A088FLK9,1
A0A088STQ5,1
A0A088T0J9,5
A0A089M3R3,1
A0A089YV40,1
A0A090A233,1
A0A090BWT0,1
A0A090CRQ5,2
A0A090F1W4,1
A0A090KI56,1
A0A090KS30,3
A0A091SV96,1
A0A093VKV7,2
A0A094NJQ6,1
A0A094YZ24,3
A0A094ZWQ2,9
A0A096F4H2,1
A0A096LNF0,2
A0A096LNF1,1
A0A096P8D3,4
A0A096SRM5,1
A0A096YGU7,1
A0A096ZH83,1
A0A096ZHB0,1
A0A097BW12,1
A0A097J809,1
A0A097P1P8,1
A0A097P6E1,1
A0A097PF39,1
A0A097PIE2,1
A0A097PUG4,3
A0A097ZPD5,3
A0A098DND1,1
A0A098SKQ8,2
A0A099I6D2,1
A0A0A0BZU2,1
A0A0A0EFB9,2
A0A0A0NH71,1
A0A0A0Q2K8,2
A0A0A0Q7Z8,3
A0A0A0R5X6,1
A0A0A0RCB5,3
A0A0A0RDR2,7
A0A0A0UVH9,3
A0A0A0UVL0,1
A0A0A0V023,1
A0A0A0V031,4
A0A0A0VBX4,1
A0A0A0VDJ9,1
A0A0A0WDC6,1
A0A0A0YMQ9,1
A0A0A1A394,1
A0A0A1EQY0,4
A0A0A1HA03,4
A0A0A1I7H6,2
A0A0A1NDE2,1
A0A0A1VBK6,4
A0A0A2ACP7,3
A0A0A2JK86,1
A0A0A2K0J0,1
A0A0A3XYM8,1
A0A0A5P8W7,6
A0A0A6YVN3,2
A0A0A6YVN5,1
A0A0A6YVN6,1
A0A0A6YVN8,1
A0A0A7CJV4,2
A0A0A7CK57,2
A0A0A7EMW6,2
A0A0A7EQR3,6
A0A0A7GDU7,2
A0A0A7GJ30,2
A0A0A7HFE6,1
A0A0A7HR51,9
A0A0A7I0A5,1
A0A0A7KVG3,1
A0A0A7M685,1
A0A0A7RQX5,1
A0A0A7XPH7,3
A0A0A8IBJ8,2
A0A0A8IK66,1
A0A0A8R8E6,1
A0A0A8UKD4,2
A0A0B0D9P4,1
A0A0B0EHL2,1
A0A0B0EN18,1
A0A0B0IKH9,1
A0A0B0QJN8,1
A0A0B0QJR1,3
A0A0B0SD75,1
A0A0B0SG80,6
A0A0B0W5A7,1
A0A0B2E3F3,1
A0A0B4J185,1
A0A0B4J186,1
A0A0B4J187,1
A0A0B4J1J9,6
A0A0B4J268,2
A0A0B4J271,6
A0A0B4J272,3
A0A0B4J274,1
A0A0B4J277,4
A0A0B4J279,8
A0A0B4J2E0,6
A0A0B4J2H0,5
A0A0B4JDC9,3
A0A0B4K6E2,2
A0A0B4KG38,1
A0A0B4KHI4,1
A0A0B4KIF6,1
A0A0B4N5Z5,1
A0A0B4ND47,1
A0A0B4WYC6,35
A0A0B5A8Q2,1
A0A0B5AC95,1
A0A0B5GUD2,4
A0A0B5GUS3,2
A0A0B5H9B3,6
A0A0B5KGV8,1
A0A0B5KQQ5,1
A0A0B5KUB4,1
A0A0B5L781,3
A0A0B5LB55,2
A0A0B5RNJ4,1
A0A0B6VPP7,3
A0A0B7GNW3,1
A0A0B7GP99,1
A0A0B7GRV8,1
A0A0B7LH44,1
A0A0B8QZ66,1
A0A0B8RFI6,1
A0A0B8RZH0,1
A0A0B9X9I7,1
A0A0C0C2K2,1
A0A0C1F4U8,1
A0A0C1MLE8,3
A0A0C2W6A5,2
A0A0C2W9F0,1
A0A0C2ZKK6,1
A0A0C3A3T0,1
A0A0C3K8Q6,1
A0A0C4DI32,1
A0A0C4KUT2,1
A0A0C4WKK2,2
A0A0C4WVM3,1
A0A0C4WXC5,1
A0A0C5AQI9,1
A0A0C5BL75,1
A0A0C5DR25,1
A0A0C5EQ24,1
A0A0C5GWS2,7
A0A0C5PVE3,2
A0A0C5VFC0,2
A0A0C5WDX4,1
A0A0C5XKJ0,2
A0A0C5XL88,2
A0A0C6DRW4,2
A0A0C9S461,1
A0A0D1DWQ2,2
A0A0D1DWT4,1
A0A0D1DWZ5,2
A0A0D1E015,1
A0A0D1IHL7,2
A0A0D1JHQ1,1
A0A0D1KRA1,1
A0A0D1M7L2,1
A0A0D2C5V9,1
A0A0D2H023,1
A0A0D2ILK1,6
A0A0D2UG83,2
A0A0D3MU51,1
A0A0D3RJT7,2
A0A0D4BSW3,1
A0A0D4WV12,1
A0A0D5CS34,1
A0A0D5NT23,1
A0A0D5X2Y8,1
A0A0D5YC82,3
A0A0D5YCX7,1
A0A0D5YE19,1
A0A0D5YEC3,1
A0A0D5YFP2,1
A0A0D5YGK2,1
A0A0D5YHU7,1
A0A0D5YI36,1
A0A0D5YK08,1
A0A0D5YKJ7,1
A0A0D5YKR4,1
A0A0D6CBA8,2
A0A0D6GJV1,4
A0A0D6H805,3
A0A0D6HIR7,3
A0A0D6HP13,1
A0A0D6HUA0,1
A0A0D6I3Y9,1
A0A0D6IF67,3
A0A0D6IV69,1
A0A0D6JKM4,1
A0A0D6KM24,1
A0A0D6L0Q7,1
A0A0D6TQX4,1
A0A0D7C3R7,2
A0A0D7LY80,1
A0A0D8JSK0,1
A0A0D9RBI8,1
A0A0D9Z3K8,1
A0A0E0TE00,1
A0A0E0TG05,1
A0A0E1NWS3,1
A0A0E2AWB8,1
A0A0E2IV13,2
A0A0E3CPJ0,1
A0A0E3D3H8,1
A0A0E3GLN3,1
A0A0E3GTJ4,2
A0A0E3JLZ0,3
A0A0E3K9N8,2
A0A0E3LP72,3
A0A0E3QWH3,3
A0A0E3QYL7,3
A0A0E3UPZ3,1
A0A0E3URV8,3
A0A0E3VZU8,1
A0A0E3W010,4
A0A0E3X5I8,3
A0A0E3ZCF3,7
A0A0E4AYE7,2
A0A0E4B1P1,4
A0A0E4B213,3
A0A0E4B366,1
A0A0E4G455,4
A0A0F0AZW0,1
A0A0F4JF04,2
A0A0F4KU40,2
A0A0F4VK59,3
A0A0F4Z128,1
A0A0F5HNH9,1
A0A0F5I5V4,1
A0A0F6AK91,1
A0A0F6AN26,1
A0A0F6AQU1,2
A0A0F6AR69,2
A0A0F6AW83,1
A0A0F6AWM7,1
A0A0F6AY66,7
A0A0F6AZI6,1
A0A0F6AZN3,1
A0A0F6AZQ4,1
A0A0F6B1U8,1
A0A0F6B221,1
A0A0F6B249,1
A0A0F6B281,1
A0A0F6B4U8,1
A0A0F6B5X4,1
A0A0F6B8D8,2
A0A0F6B8D9,1
A0A0F6BAH8,1
A0A0F6BAH9,1
A0A0F6N4U7,2
A0A0F6NGI2,1
A0A0F6P2I5,1
A0A0F6R9G3,1
A0A0F6SD02,2
A0A0F6WGE1,2
A0A0F6YEF6,1
A0A0F7G0Y4,4
A0A0F7G196,3
A0A0F7IPS1,1
A0A0F7J3Q3,1
A0A0F7J8S0,2
A0A0F7KYQ8,8
A0A0F7PV22,1
A0A0F7R1P3,1
A0A0F7R2R9,1
A0A0F7R5U8,4
A0A0F7R6D6,5
A0A0F7R6G7,4
A0A0F7UZ05,2
A0A0F7V8B2,1
A0A0F7VBC6,1
A0A0F8R9A0,5
A0A0F8V8L2,2
A0A0F8XMN8,1
A0A0F9XM91,1
A0A0G1XU35,1
A0A0G2JF94,4
A0A0G2JL56,1
A0A0G2JMB4,1
A0A0G2JPD3,4
A0A0G2JZW1,1
A0A0G2K8Z9,4
A0A0G2LB96,3
A0A0G2Q8L7,1
A0A0G2RKR9,1
A0A0G3FEJ8,1
A0A0G3FEK2,1
A0A0G3H170,1
A0A0G4DBU7,5
A0A0G4DCU0,7
A0A0G4QN87,1
A0A0H0XV02,1
A0A0H0Y8X2,1
A0A0H2SHM8,1
A0A0H2UKY3,1
A0A0H2UKY4,1
A0A0H2UKY8,1
A0A0H2UKZ1,1
A0A0H2UKZ3,1
A0A0H2UKZ5,1
A0A0H2UKZ7,1
A0A0H2UL03,4
A0A0H2UL04,2
A0A0H2UMY0,1
A0A0H2UMZ7,1
A0A0H2UN19,2
A0A0H2UN21,1
A0A0H2UN22,1
A0A0H2UN25,1
A0A0H2UN41,1
A0A0H2UN46,2
A0A0H2UN73,1
A0A0H2UN92,1
A0A0H2UN95,3
A0A0H2UNA1,1
A0A0H2UND0,1
A0A0H2UNG0,4
A0A0H2UNH0,1
A0A0H2UNJ8,1
A0A0H2UNK6,1
A0A0H2UNM0,1
A0A0H2UNM7,5
A0A0H2UNQ9,2
A0A0H2UNS1,1
A0A0H2UNT5,1
A0A0H2UNT6,2
A0A0H2UNW2,1
A0A0H2UNZ8,1
A0A0H2UP19,3
A0A0H2UP26,2
A0A0H2UP35,2
A0A0H2UP38,1
A0A0H2UP67,1
A0A0H2UP74,1
A0A0H2UP77,1
A0A0H2UPA7,2
A0A0H2UPC8,1
A0A0H2UPF3,4
A0A0H2UPL4,1
A0A0H2UPM3,1
A0A0H2UPP7,1
A0A0H2UPQ2,1
A0A0H2UPR5,2
A0A0H2UPS5,4
A0A0H2UPT5,2
A0A0H2UPV6,1
A0A0H2UPY1,1
A0A0H2UPY5,1
A0A0H2UPY9,1
A0A0H2UQ30,1
A0A0H2UQ53,1
A0A0H2UQ68,10
A0A0H2UQ78,1
A0A0H2UQ81,1
A0A0H2UQ89,1
A0A0H2UQ91,1
A0A0H2UQE4,9
A0A0H2UQU7,1
A0A0H2UQV3,1
A0A0H2UR04,2
A0A0H2UR34,5
A0A0H2UR54,1
A0A0H2UR67,1
A0A0H2UR89,1
A0A0H2UR92,1
A0A0H2UR98,1
A0A0H2URA0,1
A0A0H2URA5,1
A0A0H2URC7,1
A0A0H2URD6,5
A0A0H2URF0,1
A0A0H2URF8,1
A0A0H2URG7,1
A0A0H2URJ7,4
A0A0H2URK1,3
A0A0H2URM1,3
A0A0H2URN1,1
A0A0H2URN9,1
A0A0H2URP5,1
A0A0H2URQ6,6
A0A0H2URR1,1
A0A0H2URV7,1
A0A0H2URW2,2
A0A0H2URZ6,3
A0A0H2US34,9
A0A0H2US38,1
A0A0H2US48,2
A0A0H2US72,1
A0A0H2US73,6
A0A0H2US78,4
A0A0H2US93,1
A0A0H2USG4,1
A0A0H2USH8,1
A0A0H2USX5,1
A0A0H2UT30,1
A0A0H2UT39,1
A0A0H2UTE5,1
A0A0H2UTN5,1
A0A0H2UUG0,1
A0A0H2UWN1,2
A0A0H2UWN8,3
A0A0H2UXE9,1
A0A0H2UXX1,3
A0A0H2UYY2,3
A0A0H2V277,1
A0A0H2V3A6,1
A0A0H2V3I0,1
A0A0H2V4A7,1
A0A0H2V4H2,1
A0A0H2V5A3,1
A0A0H2V5I6,1
A0A0H2V6G8,1
A0A0H2V6Q4,1
A0A0H2V6Y9,2
A0A0H2V731,1
A0A0H2V735,1
A0A0H2V7F2,1
A0A0H2V7F6,2
A0A0H2V833,2
A0A0H2V857,1
A0A0H2V8D3,3
A0A0H2V9Q5,1
A0A0H2VAW5,1
A0A0H2VAX3,1
A0A0H2VBL3,1
A0A0H2VC26,1
A0A0H2VCL5,1
A0A0H2VD83,2
A0A0H2VDD2,1
A0A0H2VDN9,1
A0A0H2VDX9,2
A0A0H2VHB1,1
A0A0H2VHE3,1
A0A0H2VHN1,1
A0A0H2VHN8,1
A0A0H2VHQ2,1
A0A0H2VHQ6,1
A0A0H2VIU2,1
A0A0H2VTI6,3
A0A0H2VWV0,1
A0A0H2VX33,1
A0A0H2VY20,1
A0A0H2W186,1
A0A0H2W2Y2,1
A0A0H2W5P5,1
A0A0H2W6Z9,1
A0A0H2W7Q5,2
A0A0H2WBM4,1
A0A0H2WCA9,1
A0A0H2WCF8,1
A0A0H2WF95,1
A0A0H2WFM6,1
A0A0H2WJQ2,1
A0A0H2WM30,1
A0A0H2WND1,1
A0A0H2WQ05,1
A0A0H2WR29,1
A0A0H2WVW5,3
A0A0H2WW38,1
A0A0H2WWB5,1
A0A0H2WWL2,1
A0A0H2WWM9,1
A0A0H2WWV6,2
A0A0H2WX20,2
A0A0H2WX25,1
A0A0H2WXM0,1
A0A0H2WXT1,1
A0A0H2WXZ7,1
A0A0H2WY27,14
A0A0H2WYW3,1
A0A0H2WZ09,2
A0A0H2WZ38,1
A0A0H2WZ98,1
A0A0H2WZL3,2
A0A0H2WZV8,1
A0A0H2WZY4,1
A0A0H2X069,1
A0A0H2X0S3,6
A0A0H2X0Y8,1
A0A0H2X6W0,1
A0A0H2XBX7,2
A0A0H2XEV3,1
A0A0H2XGN0,1
A0A0H2XH33,1
A0A0H2XI76,1
A0A0H2XI93,1
A0A0H2XIJ1,1
A0A0H2XIU6,1
A0A0H2XIZ7,1
A0A0H2XK72,4
A0A0H2YM47,1
A0A0H2YN38,9
A0A0H2YNR7,5
A0A0H2YP60,1
A0A0H2YP99,1
A0A0H2YPJ4,1
A0A0H2YQB3,3
A0A0H2YQN3,1
A0A0H2YQR1,3
A0A0H2YR30,1
A0A0H2YRL1,2
A0A0H2YRZ7,3
A0A0H2YS52,1
A0A0H2YS77,1
A0A0H2YSI2,2
A0A0H2YST8,5
A0A0H2YT71,2
A0A0H2YTW6,1
A0A0H2YTZ1,1
A0A0H2YU83,1
A0A0H2YU91,7
A0A0H2YUZ2,1
A0A0H2YW34,1
A0A0H2YWG9,1
A0A0H2Z0G0,1
A0A0H2Z117,3
A0A0H2Z2W8,1
A0A0H2Z7A6,1
A0A0H2Z874,2
A0A0H2Z8A2,1
A0A0H2Z901,2
A0A0H2Z9F5,2
A0A0H2Z9V8,1
A0A0H2ZBG1,1
A0A0H2ZD27,32
A0A0H2ZD98,2
A0A0H2ZE85,8
A0A0H2ZEH5,2
A0A0H2ZFH3,1
A0A0H2ZI10,1
A0A0H2ZIZ8,2
A0A0H2ZMC0,1
A0A0H2ZMK9,1
A0A0H2ZMX3,1
A0A0H2ZN67,1
A0A0H2ZNA4,3
A0A0H2ZNF4,1
A0A0H2ZNM1,1
A0A0H2ZNZ5,1
A0A0H2ZP28,1
A0A0H2ZPL4,1
A0A0H2ZQ91,1
A0A0H2ZRI0,1
A0A0H2ZRU2,1
A0A0H2ZSG9,1
A0A0H2ZSR3,1
A0A0H2ZSV5,1
A0A0H2ZTH2,1
A0A0H2ZTL3,1
A0A0H2ZTN5,1
A0A0H2ZTN6,1
A0A0H2ZU39,1
A0A0H2ZUQ2,1
A0A0H2ZV91,1
A0A0H2ZWD1,1
A0A0H2ZWY3,1
A0A0H2ZXF2,1
A0A0H2ZY59,1
A0A0H2ZY91,1
A0A0H2ZYS9,1
A0A0H2ZZ96,1
A0A0H3A0Q9,1
A0A0H3A4H3,1
A0A0H3A4S5,1
A0A0H3ADN9,1
A0A0H3ADR8,1
A0A0H3AE70,1
A0A0H3AER7,5
A0A0H3AES3,1
A0A0H3AFK0,1
A0A0H3AFM6,1
A0A0H3AFW5,6
A0A0H3AGE3,1
A0A0H3AHP1,1
A0A0H3AIE8,1
A0A0H3AIG7,7
A0A0H3AIH3,1
A0A0H3AJ03,1
A0A0H3AJ04,5
A0A0H3AJJ8,1
A0A0H3AKH0,1
A0A0H3ALA8,1
A0A0H3AM46,1
A0A0H3AME7,2
A0A0H3AMJ9,2
A0A0H3AQ75,2
A0A0H3AQB6,2
A0A0H3ASL8,4
A0A0H3ASR6,1
A0A0H3ATY4,1
A0A0H3ATZ3,1
A0A0H3AWV3,2
A0A0H3AY56,1
A0A0H3B0B8,1
A0A0H3B1Q8,1
A0A0H3B2F9,4
A0A0H3B5N9,1
A0A0H3BXA0,1
A0A0H3BY62,2
A0A0H3BZ89,2
A0A0H3C5N2,1
A0A0H3C7V4,8
A0A0H3C834,1
A0A0H3C9J4,4
A0A0H3C9Q9,1
A0A0H3CA70,2
A0A0H3CAN8,1
A0A0H3CAV3,1
A0A0H3CBZ6,1
A0A0H3CDG5,1
A0A0H3CDY2,1
A0A0H3CFC9,1
A0A0H3CIJ2,2
A0A0H3CIX8,2
A0A0H3CJW2,1
A0A0H3CKN4,2
A0A0H3CM13,1
A0A0H3CM71,1
A0A0H3CN11,1
A0A0H3CPF7,1
A0A0H3CQ33,1
A0A0H3CVZ6,1
A0A0H3FJT8,5
A0A0H3FKK2,2
A0A0H3FL22,3
A0A0H3FMF8,10
A0A0H3FPU4,11
A0A0H3FR62,7
A0A0H3FXS4,7
A0A0H3G0N3,4
A0A0H3G2U5,2
A0A0H3G350,1
A0A0H3G544,1
A0A0H3G6B0,1
A0A0H3G7M3,1
A0A0H3G917,1
A0A0H3G9R2,1
A0A0H3G9X2,1
A0A0H3GA96,1
A0A0H3GD84,1
A0A0H3GFS8,1
A0A0H3GIZ6,1
A0A0H3GJB6,1
A0A0H3GJF7,5
A0A0H3GLZ1,1
A0A0H3GM04,1
A0A0H3GMP0,1
A0A0H3GRR0,1
A0A0H3GU89,2
A0A0H3GVQ7,4
A0A0H3GWS2,1
A0A0H3H219,35
A0A0H3HIJ5,1
A0A0H3HP34,7
A0A0H3JDV8,3
A0A0H3JH39,2
A0A0H3JHA1,1
A0A0H3JHT3,6
A0A0H3JKI3,1
A0A0H3JN63,2
A0A0H3JNB0,5
A0A0H3JP37,2
A0A0H3JPA5,3
A0A0H3JPC6,5
A0A0H3JPF2,3
A0A0H3JPH0,3
A0A0H3JPI4,1
A0A0H3JPM4,3
A0A0H3JPP0,1
A0A0H3JPT9,1
A0A0H3JQ19,2
A0A0H3JQV2,1
A0A0H3JR67,1
A0A0H3JRA8,1
A0A0H3JRK2,1
A0A0H3JRR0,2
A0A0H3JRR2,1
A0A0H3JRX7,1
A0A0H3JSC0,1
A0A0H3JSF1,1
A0A0H3JSG1,1
A0A0H3JSM9,1
A0A0H3JSS7,1
A0A0H3JSV1,1
A0A0H3JSY9,2
A0A0H3JSZ8,1
A0A0H3JT72,4
A0A0H3JT80,6
A0A0H3JTC8,1
A0A0H3JTG5,1
A0A0H3JTJ5,2
A0A0H3JTP0,4
A0A0H3JTS0,1
A0A0H3JTS7,1
A0A0H3JU14,1
A0A0H3JU78,3
A0A0H3JUJ1,2
A0A0H3JUK5,1
A0A0H3JUR0,1
A0A0H3JUU7,2
A0A0H3JV59,1
A0A0H3JWI0,1
A0A0H3JWU6,2
A0A0H3JX61,2
A0A0H3JX79,1
A0A0H3JX93,1
A0A0H3JXA8,1
A0A0H3JXG2,1
A0A0H3JXK4,1
A0A0H3JXR3,1
A0A0H3JYD9,1
A0A0H3JYW8,1
A0A0H3JZ23,1
A0A0H3JZ56,1
A0A0H3JZ73,1
A0A0H3JZG0,1
A0A0H3JZJ4,2
A0A0H3JZW1,1
A0A0H3JZY6,1
A0A0H3K033,6
A0A0H3K044,1
A0A0H3K0M1,3
A0A0H3K0Y5,1
A0A0H3K0Z1,1
A0A0H3K164,1
A0A0H3K174,1
A0A0H3K5M0,1
A0A0H3K6A3,2
A0A0H3K6J7,1
A0A0H3K724,12
A0A0H3K7S1,1
A0A0H3K7Y1,1
A0A0H3K9J4,1
A0A0H3K9U6,2
A0A0H3K9Y6,5
A0A0H3K9Z0,1
A0A0H3KA72,3
A0A0H3KB22,3
A0A0H3KB98,1
A0A0H3KBY8,1
A0A0H3KDL9,1
A0A0H3KFM7,2
A0A0H3KFN7,1
A0A0H3KGN1,1
A0A0H3KGN3,1
A0A0H3KH80,1
A0A0H3KHT8,2
A0A0H3KJG7,1
A0A0H3KN52,3
A0A0H3KNC4,4
A0A0H3KNE7,3
A0A0H3KNM5,1
A0A0H3KPC8,1
A0A0H3KPJ4,1
A0A0H3KPJ9,1
A0A0H3KRF1,1
A0A0H3KRR5,1
A0A0H3KXJ8,5
A0A0H3LGE5,1
A0A0H3LHY8,1
A0A0H3LJQ6,1
A0A0H3LJT0,1
A0A0H3LK92,1
A0A0H3LKE5,1
A0A0H3LKK6,1
A0A0H3LKK8,2
A0A0H3LM39,1
A0A0H3LM73,1
A0A0H3LMU1,1
A0A0H3LP08,1
A0A0H3LPK2,1
A0A0H3LPN1,1
A0A0H3LRN8,1
A0A0H3LS10,1
A0A0H3LS71,1
A0A0H3LT39,4
A0A0H3LTD0,1
A0A0H3LTZ0,1
A0A0H3LUA9,3
A0A0H3LUS8,1
A0A0H3LUV4,1
A0A0H3LUZ2,1
A0A0H3LV04,1
A0A0H3LV19,2
A0A0H3LVG3,1
A0A0H3LVQ9,1
A0A0H3LW43,1
A0A0H3LW83,1
A0A0H3LWT6,1
A0A0H3LWY9,1
A0A0H3LX24,1
A0A0H3LX82,2
A0A0H3LXD4,1
A0A0H3LXD5,2
A0A0H3LYP5,1
A0A0H3LYW6,1
A0A0H3LZE4,1
A0A0H3LZG7,1
A0A0H3M034,2
A0A0H3M079,1
A0A0H3M2Q2,2
A0A0H3M323,1
A0A0H3M325,1
A0A0H3M3F4,1
A0A0H3M3R8,1
A0A0H3M4F9,1
A0A0H3M4W2,1
A0A0H3M584,1
A0A0H3M6H9,1
A0A0H3M6V9,1
A0A0H3M6W8,2
A0A0H3M7U0,1
A0A0H3MBU8,1
A0A0H3MBV9,5
A0A0H3MBY2,2
A0A0H3MCJ9,1
A0A0H3MCU1,1
A0A0H3MDU0,1
A0A0H3MDV9,1
A0A0H3MDW1,3
A0A0H3MH91,1
A0A0H3MQY4,1
A0A0H3MRL9,1
A0A0H3MRW3,1
A0A0H3ND95,2
A0A0H3NHS6,1
A0A0H3NLH8,1
A0A0H3NMP8,3
A0A0H3NPR7,1
A0A0H3NPU3,1
A0A0H3PA01,9
A0A0H3PAQ3,2
A0A0H3PAZ9,1
A0A0H3PBA4,1
A0A0H3TLP8,2
A0A0H3XJK5,2
A0A0H3YBU9,1
A0A0H3YGY5,8
A0A0H4B872,1
A0A0H4ITX1,1
A0A0H4IUK8,1
A0A0H4IWK3,1
A0A0H4SN47,1
A0A0H4SRM2,1
A0A0H4TFU4,1
A0A0H4TJ34,1
A0A0H4TXY1,1
A0A0H5AXR2,1
A0A0H5BL38,8
A0A0H5BR52,6
A0A0H5BRR0,1
A0A0H6LKE4,1
A0A0J1PJ79,1
A0A0J4VP90,1
A0A0J5ZXG5,1
A0A0J7JFD7,8
A0A0J7XEF9,1
A0A0J8GWN9,2
A0A0J9WZ66,1
A0A0J9WZA6,4
A0A0J9WZF0,3
A0A0J9X157,1
A0A0J9X1M8,4
A0A0J9X1Q5,1
A0A0J9X1X3,1
A0A0J9X1X5,1
A0A0J9X1X6,1
A0A0J9X1X7,1
A0A0J9X1Y0,4
A0A0J9X1Y2,5
A0A0J9X1Y7,1
A0A0J9X1Y8,2
A0A0J9X1Z1,1
A0A0J9X1Z4,1
A0A0J9X1Z5,2
A0A0J9X1Z6,1
A0A0J9X1Z8,1
